TAG_CAT;TAG_ID;TAG_NAME;TAG_CNT;FR_ID;MAL_ID;MAL_NAME;MAL_CNT
4;1242273;ruka_(yuu_yuu_hakusho);8;466305;;;
4;1242401;myoujingawa_alice;8;1242160;78325;Alice Myoujingawa;3
4;1242470;aurora_star_coral;8;604312;;;
4;1243143;mermaid_(dragon's_crown);8;628569;;;
4;1243268;huangdi_the_yellow_emperor;8;1243265;;;
4;1243771;maria_(mad_father);8;723942;;;
4;1244001;aiden_pearce;8;770440;;;
4;1244228;mishima_asuka;8;679965;34146;Asuka Mishima;210
4;1244721;mute_(analogue:_a_hate_story);8;696158;;;
4;1245526;noelle_(tales);8;571639;;;
4;1246288;kouzaku_mitori;8;395913;;;
4;1246702;infiltration;8;1240576;;;
4;1246746;nen-nen;8;;;;
4;1247210;takano_shunsuke;8;1247050;;;
4;1247240;girl_beaten_by_a_cat_(kantai_collection);8;1231860;;;
4;1247335;nishizono_tetora;8;412370;;;
4;1248058;ekaterina_(godannar);8;543163;20927;Ekaterina;2
4;1248300;mighty_no._8;8;1245849;;;
4;1248695;towa_(tokitowa);8;1036764;;;
4;1248927;sara_(tales);8;571639;;;
4;1249103;usa_kazunari;8;670705;95627;Kazunari Usa;108
4;1249124;akuko_(arc);8;;;;
4;1249333;captain_tennille;8;480701;104595;Captain Tennille;0
4;1249969;shirosaki_yuuri;8;1242302;;;
4;1250051;hermes_(p&d);8;698622;;;
4;1250098;uwasa_atsume;8;432319;140808;Natsumi Oosawagi;1
4;1250169;pipin_(fairy_fencer_f);8;1233998;;;
4;1250295;tokikaze_shizuku;8;618165;;;
4;1250431;kinu_(kissa_korikori);8;1250430;;;
4;1250441;kumoi_ichirin_(monkey);8;29;;;
4;1250704;angel_(shinkai_no_valkyrie);8;1228817;;;
4;1250706;lilim_(shinkai_no_valkyrie);8;1228817;;;
4;1250707;leviathan_(shinkai_no_valkyrie);8;1228817;;;
4;1250830;natascha;8;457878;;;
4;1251025;sana_(ichiroku);8;;;;
4;1251201;rchimedes;8;726618;;;
4;1251559;cecile_(l'heure_bleue);8;498135;;;
4;1252262;mothman_(monster_girl_encyclopedia);8;605805;;;
4;1252518;aoi_daichi;8;432319;;;
4;1252533;kune_(hakoniwa_tsuka);8;;;;
4;1252604;yuugami_kaguya;8;432319;;;
4;1253105;harpy_(dragon's_crown);8;628569;;;
4;1253166;lily_(himegari_dungeon_meister);8;596878;;;
4;1253816;matt_(ego_trigger);8;1253812;;;
4;1254452;mitsu_no_tama_yori_hime;8;1240011;;;
4;1254985;ishikawa_yui;8;;;;
4;1255197;hirayama_alice;8;1254164;;;
4;1255255;yonaga_aoba;8;1251662;;;
4;1255512;narumi_an;8;1237080;;;
4;1255546;mouten_(kingdom);8;380749;;;
4;1255886;sidonia_(ship);8;517396;;;
4;1255950;mochizuki_yousuke;8;1254727;;;
4;1255955;elvy_frost;8;;;;
4;1256001;hinako_nanami;8;1255999;;;
4;1256004;ani_neko;8;;;;
4;1256057;atsui_chishio;8;432319;;;
4;1256180;seria_(shirow);8;;;;
4;1256341;trevor_philips;8;413888;;;
4;1257190;archangel_michael_(p&d);8;698622;;;
4;1257222;corque_lans;8;1078471;;;
4;1257557;floran;8;850339;;;
4;1257634;charlene_chen;8;604312;91887;Sharlene Chen;0
4;1257745;kamewari_akira;8;401223;;;
4;1257812;sadira;8;565221;;;
4;1258087;iijima_ryou;8;9934;94055;Ryou Ijima;0
4;1258154;hase_ryouji;8;376302;;;
4;1258308;dora_marquez;8;282914;;;
4;1258398;kiyoizumi_azumi;8;1255153;;;
4;1258555;clawitzer;8;2999;;;
4;1258597;call_i;8;1245849;;;
4;1258601;call_a;8;1245849;;;
4;1258782;yukawa_manabu;8;1258783;;;
4;1258889;yukikaze_(aoki_hagane_no_arpeggio);8;628385;;;
4;1259260;baseran_(maka_maka);8;385282;;;
4;1260055;mirai_(zipang);8;1231860;;;
4;1260814;maliki_(character);8;601871;;;
4;1260819;lucy_(one_piece);8;8875;;;
4;1261053;bergmite;8;2999;;;
4;1261108;corps_member_(koronu);8;1261088;;;
4;1261119;sanuki_tsuyuko;8;1261088;;;
4;1261120;kibino_kouya;8;1261088;;;
4;1261321;akatsuki_gundam;8;76;;;
4;1261450;reverie_(agarest_senki);8;513146;;;
4;1261636;celica_tepes_lunatica;8;1261635;;;
4;1261701;sven_(frozen);8;5649;;;
4;1261732;witchette;8;680772;;;
4;1261752;rising_star_(pokemon);8;2999;;;
4;1261841;columbo_(bust_a_move);8;1099852;;;
4;1262057;miyabe_matsuno;8;1262053;;;
4;1262361;bakura_(tsugumomo);8;415753;;;
4;1262533;narita_shinjirou;8;1231245;99261;Shinjiro Nagita;3
